978-1-78350-104-5		9781783501045	NOTFOUND
978-1-78441-085-8	F5549.5.M63	9781784410858	Yale
978-1-78525-467-3	7668.C3	9781785254673	Yale
978-1-78548-138-3	QL618.2	9781785481383	OCLC
978-1-78560-019-7	HD58.8	9781785600197	OCLC
978-1-83882-888-2		9781838828882	NOTFOUND
978-1-84046-633-1	BQ4022	9781840466331	OCLC
978-1-84076-072-9	SF997.5.R2	9781840760729	OCLC
978-1-84076-153-5	SF811	9781840761535	OCLC
978-1-84112-474-2	HF5718	9781841124742	OCLC
978-1-84227-538-2	BT216.3	9781842275382	OCLC
978-1-84310-306-6	LC4717	9781843103066	OCLC
978-1-84398-300-2	HF5549.5.E45	9781843983002	OCLC
978-1-84407-779-3	G156.5.S87	9781844077793	OCLC
978-1-84465-288-4	B2430.D454	9781844652884	OCLC
978-1-84484-019-9		9781844840199	NOTFOUND
978-1-84484-460-9	N6280	9781844844609	OCLC
978-1-84511-763-4	BQ7935.B777	9781845117634	OCLC
978-1-84519-703-2	DC158.8	9781845197032	OCLC
978-1-84541-133-6	G155.J27	9781845411336	OCLC
978-1-84541-151-0	G155.A1	9781845411510	OCLC
978-1-84544-043-5	HC79.E5	9781845440435	OCLC
978-1-84544-430-3	HC79.E5	9781845444303	OCLC
978-1-84545-768-6	LC157.N35	9781845457686	OCLC
978-1-84553-236-9	B132.Y6	9781845532369	OCLC
978-1-84569-495-1	TP370	9781845694951	OCLC
978-1-84586-055-4	DA375	9781845860554	OCLC
978-1-84593-679-2	G156.5.S87	9781845936792	OCLC
978-1-84619-468-9	RA410.55.G7	9781846194689	OCLC
978-1-84663-968-5	F5549	9781846639685	Yale
978-1-84668-153-0	CR4743	9781846681530	OCLC
978-1-84668-372-5	HA155	9781846683725	OCLC
978-1-84730-218-2	LB3013.3	9781847302182	OCLC
978-1-84773-347-4	QL661.A785	9781847733474	OCLC
978-1-84773-980-3	QL676.5	9781847739803	OCLC
978-1-84813-807-0	HD9577.N62	9781848138070	OCLC
978-1-84844-193-4	HQ814	9781848441934	OCLC
978-1-84872-157-9	GV706.4	9781848721579	OCLC
978-1-84872-324-5	BF723.I646	9781848723245	OCLC
978-1-84872-343-6	BF311	9781848723436	OCLC
978-1-84872-482-2	BF721	9781848724822	OCLC
978-1-84872-611-6	BF713	9781848726116	OCLC
978-1-84872-871-4	BF713	9781848728714	OCLC
978-1-84884-523-7	DD247.H5	9781848845237	OCLC
978-1-84885-105-4	DS485.K25	9781848851054	OCLC
978-1-84904-397-7	DS36.8	9781849043977	OCLC
978-1-84904-459-2	DS495.6	9781849044592	OCLC
978-1-84905-250-4	HQ30.5	9781849052504	OCLC
978-1-84935-070-9	HQ77.9	9781849350709	OCLC
978-1-85359-932-3	P119.315	9781853599323	OCLC
978-1-85573-723-5	TX553.P7	9781855737235	OCLC
978-1-85575-109-5	BF173.A2	9781855751095	OCLC
978-1-85575-287-0	RC535	9781855752870	OCLC
978-1-85918-450-9	ML101.I73	9781859184509	OCLC
978-1-85918-478-3	QK307	9781859184783	OCLC
978-1-85959-150-5	RC537	9781859591505	OCLC
978-1-85974-929-6	QL253	9781859749296	OCLC
978-1-86197-580-5	HB62	9781861975805	OCLC
978-1-885073-21-1	HF5389.3.A7	9781885073211	OCLC
978-1-889057-07-1	R838.5	9781889057071	OCLC
978-1-903047-74-3	RC178.A1	9781903047743	OCLC
978-1-904315-29-2	BF576	9781904315292	OCLC
978-1-904761-14-3	SF277.3	9781904761143	OCLC
978-1-906165-40-6	NX456.5.M64	9781906165406	OCLC
978-1-908313-65-2	PQ2666.A9795	9781908313652	OCLC
978-1-909030-51-0	HD9665.1	9781909030510	OCLC
978-1-933202-47-1	PN56.I64	9781933202471	OCLC
978-1-935439-75-2	RA564.85	9781935439752	OCLC
978-1-936290-64-2	HV6250.25	9781936290642	OCLC
978-1-936290-70-3	RC537	9781936290703	OCLC
978-1-936290-72-7	BF575.F2	9781936290727	OCLC
978-1-936290-97-0	RC533	9781936290970	OCLC
978-1-936764-22-8	LB1631	9781936764228	OCLC
978-1-937242-18-3	RC944	9781937242183	OCLC
978-1-937561-68-0	PQ2662.E253	9781937561680	OCLC
978-1-937612-23-8	RC560.S43	9781937612238	OCLC
978-1-937612-43-6	RC564.15	9781937612436	OCLC
978-1-937612-47-4	RC552.P67	9781937612474	OCLC
978-1-937612-61-0	BF637.S4	9781937612610	OCLC
978-1-937612-66-5	HQ1090	9781937612665	OCLC
978-1-937612-91-7	BF575.S37	9781937612917	OCLC
978-1-941631-23-2	HD60	9781941631232	OCLC
978-1-942094-02-9	RC564	9781942094029	OCLC
978-1-942094-12-8	HV697	9781942094128	OCLC
978-1-942094-18-0	BF637.P3	9781942094180	OCLC
978-2-7598-1268-4	BF173.F85	9782759812684	OCLC
978-3-030-18658-6	LB2361	9783030186586	OCLC
978-3-0343-0008-7	DU113.5.E85	9783034300087	OCLC
978-3-11-018144-9	PT2621.A26	9783110181449	OCLC
978-3-11-023814-3	BF637.N66	9783110238143	OCLC
978-3-11-028779-0	RG629.F45	9783110287790	OCLC
978-3-11-030091-8	BL820.B2	9783110300918	OCLC
978-3-11-030299-8	BX4827.T53	9783110302998	OCLC
978-3-11-049628-4	QH588.S83	9783110496284	OCLC
978-3-11-125737-2	KK1941	9783111257372	OCLC
978-3-16-155354-7	BL65.S38	9783161553547	OCLC
978-3-16-155751-4	B819	9783161557514	OCLC
978-3-16-155816-0	B3361.Z7	9783161558160	OCLC
978-3-527-32870-3	QD882	9783527328703	OCLC
978-3-527-41162-7	QC611.96	9783527411627	OCLC
978-3-534-18123-0	PA6481.L6	9783534181230	OCLC
978-3-540-25684-7	QA402.5	9783540256847	OCLC
978-3-642-32441-3	RC627.8	9783642324413	OCLC
978-3-642-43046-6	Q325.5	9783642430466	OCLC
978-3-8382-0701-8	PR6003.E282	9783838207018	OCLC
978-3-86883-851-0	RM222.2	9783868838510	OCLC
978-3-89993-008-5	SF991	9783899930085	OCLC
978-3-89993-026-9	SF895	9783899930269	OCLC
978-3-89993-049-8	SF757.8	9783899930498	OCLC
978-3-89993-052-8	SF767.C3	9783899930528	OCLC
978-3-95489-067-5	DT450.435	9783954890675	OCLC
978-3-95808-003-4	N8	9783958080034	Yale
978-4-8053-1362-6	PL539.5.E5	9784805313626	OCLC
978-81-7866-902-1	QH430	9788178669021	OCLC
978-81-7880-323-4	G155.A1	9788178803234	OCLC
978-81-8376-017-1	LB1025.3	9788183760171	OCLC
978-81-8376-042-3	P90	9788183760423	OCLC
978-81-8376-124-6	TP248.65.E59	9788183761246	OCLC
978-81-8376-139-0	G155.A1	9788183761390	OCLC
978-81-8376-215-1	LB1707	9788183762151	OCLC
978-81-85771-21-2	TS155	9788185771212	OCLC
978-81-85771-22-9	HF5438.4	9788185771229	OCLC
978-81-85771-67-0	T58.5	9788185771670	OCLC
978-81-85771-91-5	HF5549	9788185771915	OCLC
978-85-221-0427-7		9788522104277	NOTFOUND
978-87-7022-062-0	LC5800	9788770220620	OCLC
978-87-7124-188-4	BF204.6	9788771241884	OCLC
978-87-7288-764-7	B828.3	9788772887647	OCLC
978-87-7288-824-8	HV323	9788772888248	OCLC
978-87-7684-075-4		9788776840754	NOTFOUND
978-87-7684-087-7	Q183.4.S34	9788776840877	OCLC
978-87-7934-138-8	HM621	9788779341388	OCLC
978-87-7934-163-0	BL51	9788779341630	OCLC
978-87-7934-282-8	JC311	9788779342828	OCLC
978-87-7934-328-3	PA3827.A7	9788779343283	OCLC
978-87-7934-422-8	HV11	9788779344228	OCLC
978-87-7934-492-1	HF1365	9788779344921	OCLC
978-87-7934-548-5		9788779345485	NOTFOUND
978-87-7934-705-2	LB1028.5	9788779347052	OCLC
978-89-97639-07-6	NK4168.6.A1	9788997639076	OCLC
978-90-04-18345-2	PN682.A48	9789004183452	OCLC
978-90-04-23666-0	DS56	9789004236660	OCLC
978-90-04-24986-8	BF1779.F4	9789004249868	OCLC
978-90-04-26456-4	D639.P6	9789004264564	OCLC
978-90-04-35080-9	BF175.5.P75	9789004350809	OCLC
978-90-04-39416-2	BJ1589	9789004394162	OCLC
978-90-04-40007-8	DL46	9789004400078	OCLC
978-90-04-40227-0	PN56.O67	9789004402270	OCLC
978-90-04-41309-2	LB2844.1.N4	9789004413092	OCLC
978-90-04-41570-6	LC3732.M6	9789004415706	OCLC
978-90-272-1870-4	P115	9789027218704	OCLC
978-90-420-3878-3	DK504.68	9789042038783	OCLC
978-90-5356-192-8	PN1993.42.E85	9789053561928	OCLC
978-90-5356-857-6	P115	9789053568576	OCLC
978-90-5702-485-6	BF199	9789057024856	OCLC
978-90-6764-437-2	QA295	9789067644372	OCLC
978-90-6764-437-2	QA295	9789067644372	OCLC
978-90-8686-139-2	HD9016.A7852	9789086861392	OCLC
978-92-2-111386-7	HD6053	9789221113867	OCLC
978-92-871-6776-7	JZ5579	9789287167767	OCLC
978-92-871-6940-2	JN94.A38	9789287169402	OCLC
978-92-871-6945-7	DX145	9789287169457	OCLC
978-92-871-7197-9	KJC8780	9789287171979	OCLC
978-92-871-7244-0	HD6270	9789287172440	OCLC
978-92-871-7336-2	HC79.P6	9789287173362	OCLC
978-92-871-7341-6	HC240	9789287173416	OCLC
978-92-871-7342-3	HC240	9789287173423	OCLC
978-92-871-7359-1	D805.5.A96	9789287173591	OCLC
978-92-871-7423-9	KJC6191	9789287174239	OCLC
978-92-871-7463-5	JN13	9789287174635	OCLC
978-92-871-7518-2	KJC5132	9789287175182	OCLC
978-92-871-7567-0	HC240.9.P6	9789287175670	OCLC
978-92-871-7572-4	HV6570	9789287175724	OCLC
978-92-871-7604-2	D1060	9789287176042	OCLC
978-92-871-7636-3	LA622.7	9789287176363	OCLC
978-92-871-7640-0	HN373.5	9789287176400	OCLC
978-92-871-7654-7	KJC1212	9789287176547	OCLC
978-92-871-7660-8	HN49.V64	9789287176608	OCLC
978-92-871-7690-5	HQ799.U38	9789287176905	OCLC
978-92-871-7691-2	G155.E8	9789287176912	OCLC
978-92-871-7702-5	K3253	9789287177025	OCLC
978-92-871-7707-0	HD1289.E85	9789287177070	OCLC
978-92-871-7736-0	HD6270	9789287177360	OCLC
978-92-871-7737-7	LC1099.5.M33	9789287177377	OCLC
978-92-871-7739-1	HQ793.E85	9789287177391	OCLC
978-92-871-7740-7	KJC6318	9789287177407	OCLC
978-92-871-7759-9	JC423	9789287177599	OCLC
978-92-871-7834-3	HC240	9789287178343	OCLC
978-92-871-7837-4	HV875	9789287178374	OCLC
978-92-871-7840-4	K3242	9789287178404	OCLC
978-92-871-7852-7	KJE5132	9789287178527	OCLC
978-92-871-7870-1	P57.E9	9789287178701	OCLC
978-92-871-7871-8	P118.152.E85	9789287178718	OCLC
978-92-871-7873-2	HC244.Z9	9789287178732	OCLC
978-92-871-7911-1	K3253	9789287179111	OCLC
978-92-871-7912-8	KJC5272	9789287179128	OCLC
978-92-871-7913-5	JC311	9789287179135	OCLC
978-92-871-7928-9	HV5801	9789287179289	OCLC
978-92-871-7932-6	D804.5.G85	9789287179326	OCLC
978-92-871-7935-7	JC571	9789287179357	OCLC
978-92-871-7938-8	G155.E8	9789287179388	OCLC
978-92-871-7973-9	KJC61	9789287179739	OCLC
978-92-871-7990-6	GN484	9789287179906	OCLC
978-92-871-8021-6	HV5824.W6	9789287180216	OCLC
978-92-871-8022-3	HV6250.4.W65	9789287180223	OCLC
978-92-871-8069-8	LB1607	9789287180698	OCLC
978-92-871-8072-8	DR1685	9789287180728	OCLC
978-92-871-8086-5	DX145	9789287180865	OCLC
978-92-871-8087-2	HQ799.G9	9789287180872	OCLC
978-92-890-1377-2	RA790.7.E85	9789289013772	OCLC
978-92-9254-381-5		9789292543815	NOTFOUND
978-92-9254-768-4	HC441	9789292547684	OCLC
978-93-80257-06-8		9789380257068	NOTFOUND
978-94-6209-951-7	GT524	9789462099517	OCLC
978-94-6209-978-4	LC1090	9789462099784	OCLC
978-981-283-901-5	TA169	9789812839015	OCLC
978-981-4322-46-1	QD380	9789814322461	OCLC
978-981-4417-21-1	JF1525.P6	9789814417211	OCLC
978-981-4516-26-6	TX724.5.M4	9789814516266	OCLC
979-10-94723-71-5	PN6725	9791094723715	OCLC
